webfileid,vehicle webid,event start,event end,event severity,target type,target,target_width,target_length,ego_width,ego_length
8346,1046,22613,22638,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8347,1046,2084,2172,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.763,4.836
8348,1051,1080,1137,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8349,1051,8052,8120,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8350,1018,2894,2934,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8351,1018,6867,6911,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.763,4.836
8352,1018,6174,6255,Near-Crash,Van (minivan or standard van),following vehicle,2.1,5.5,1.763,4.836
8353,1073,4502,4557,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8354,1014,5646,5729,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8355,1014,1020,1050,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8356,1014,11027,11091,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8357,1064,2100,2156,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8358,2006,10630,10692,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8359,1081,811,868,Near-Crash,School bus,vehicle turning into another path (same direction),2.4,10.5,1.744,4.595
8361,1063,2739,2773,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.744,4.595
8362,1063,1458,1544,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.744,4.595
8363,1046,5706,5743,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8364,1046,1978,2011,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8365,1058,9082,9115,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8366,1058,4778,4869,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8367,1016,4418,4483,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8368,1055,2716,2759,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8369,1055,18808,18856,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.78,4.785
8370,1079,2520,2581,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8371,1079,7668,7722,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8372,1081,17175,17202,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.744,4.595
8373,1034,32053,32093,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8374,1014,1672,1717,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8375,1014,2447,2482,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.763,4.836
8376,1014,33338,33369,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.763,4.836
8377,1014,2611,2637,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.763,4.836
8378,1014,2265,2307,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8379,1014,2189,2258,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8380,1014,2836,2941,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8381,1014,2375,2412,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8382,1020,5313,5407,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8384,1024,3340,3394,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8386,1034,33518,33587,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8387,1034,36156,36207,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.695,4.42
8388,2012,9546,9610,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.782,4.579
8389,1022,994,1036,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8390,1072,3585,3633,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8391,1072,3666,3729,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.695,4.42
8392,1011,1565,1610,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.744,4.595
8393,1055,2024,2063,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8394,1020,14752,14834,Near-Crash,Van (minivan or standard van),vehicle in adjacent lane,2.1,5.5,1.744,4.595
8395,1020,3347,3405,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8397,1029,2385,2457,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8398,1079,6973,7023,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8399,1058,12285,12339,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8400,1024,4772,4797,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.695,4.42
8401,2004,82846,82874,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.782,4.579
8402,1029,12304,12352,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8403,1029,5588,5698,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8404,1047,4142,4263,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.78,4.785
8405,1063,6123,6180,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8406,1011,9602,9638,Near-Crash,Single-unit straight truck: Box,lead vehicle,2.4,7.3,1.744,4.595
8407,1049,35801,35840,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8408,1038,1562,1609,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.744,4.595
8410,1014,13305,13370,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8411,1008,6372,6451,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.78,4.785
8412,1060,2834,2890,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.744,4.595
8413,1079,6460,6533,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8414,1035,39222,39280,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.854,5.017
8415,2008,57880,57951,Near-Crash,Automobile,merging vehicle,1.8,4.5,1.782,4.579
8416,2003,8743,8822,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8417,1021,8372,8402,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8418,1051,2796,2852,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8419,1080,20976,21061,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.854,5.017
8420,2004,30341,30371,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.782,4.579
8421,2004,42746,42803,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8422,1016,2160,2255,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8423,2001,659,1174,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8424,2008,20330,20373,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.782,4.579
8425,1026,1980,2030,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8426,2003,7813,7888,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.782,4.579
8427,2003,13741,13836,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.782,4.579
8428,2003,12773,12802,Near-Crash,Automobile,following vehicle,1.8,4.5,1.782,4.579
8429,2004,12800,12847,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.782,4.579
8430,2004,44497,44529,Near-Crash,Other vehicle type,vehicle turning across another path (opposite direction),1.8,4.5,1.782,4.579
8432,1043,4474,4503,Near-Crash,Pickup truck,oncoming traffic,1.9,5.9,1.763,4.836
8433,1008,16601,16666,Near-Crash,Single-unit straight truck: Box,following vehicle,2.4,7.3,1.78,4.785
8434,1046,1207,1264,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8435,1075,6708,6752,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8436,1075,49976,50006,Near-Crash,Transit bus,Single vehicle conflict,2.6,11.5,1.695,4.42
8437,1034,14628,14672,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8438,1034,9522,9575,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.695,4.42
8439,1034,6512,6582,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.695,4.42
8440,1006,667,714,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8441,1006,5192,5232,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8442,1034,1,42,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8443,1034,1473,1508,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8444,1034,13002,13078,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.695,4.42
8445,1034,29918,29965,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8446,1034,7116,7177,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8447,1034,6861,6957,Near-Crash,Tractor-trailer: Enclosed box,vehicle in adjacent lane,2.6,22.5,1.695,4.42
8448,1034,14662,14704,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8449,1034,5709,5755,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8450,1005,13535,13639,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8452,1005,21500,21581,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.78,4.785
8454,1022,285,325,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8455,1078,10005,10096,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.854,5.017
8456,2013,25784,25876,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.782,4.579
8457,1042,17250,17333,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8459,1002,3482,3693,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.8,4.5
8460,1026,4605,4655,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8461,1003,10880,10925,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.854,5.017
8462,1076,6331,6377,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.78,4.785
8463,1076,10695,10739,Near-Crash,Automobile,following vehicle,1.8,4.5,1.78,4.785
8464,1042,3341,3400,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8465,1018,6534,6563,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8466,1071,155,176,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8468,1029,732,774,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.763,4.836
8470,1074,2176,2231,Near-Crash,Automobile,following vehicle,1.8,4.5,1.695,4.42
8471,1014,2992,3071,Near-Crash,Automobile,obstacle/object in roadway,1.8,4.5,1.763,4.836
8472,1016,8839,8895,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8473,1016,11990,12040,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8474,1016,11007,11061,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8476,1016,270,331,Near-Crash,Automobile,vehicle moving across another path (through intersection),1.8,4.5,1.763,4.836
8477,1016,5482,5602,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8478,2004,8566,8649,Near-Crash,Unknown vehicle type,following vehicle,1.8,4.5,1.782,4.579
8479,1034,14622,14717,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.695,4.42
8480,1034,1143,1172,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8481,1079,2910,2947,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8482,1079,16789,17105,Near-Crash,Automobile,following vehicle,1.8,4.5,1.695,4.42
8483,1063,8861,8917,Near-Crash,Van (minivan or standard van),merging vehicle,2.1,5.5,1.744,4.595
8484,1007,2255,2336,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.695,4.42
8485,1076,11824,11870,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.78,4.785
8486,2008,6650,6692,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8487,1028,4331,4362,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.78,4.785
8488,2001,2912,3058,Near-Crash,Pickup truck,vehicle turning into another path (same direction),1.9,5.9,1.782,4.579
8489,1020,8057,8100,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.744,4.595
8490,1020,4471,4521,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8491,1020,8852,8903,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8492,1020,8558,8594,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8493,1056,18450,18486,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.78,4.785
8494,1007,6622,6693,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8495,1007,13210,13261,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8496,1007,7258,7394,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8497,1007,32774,32842,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8498,1007,578,719,Near-Crash,Automobile,following vehicle,1.8,4.5,1.695,4.42
8499,1007,14902,14953,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.695,4.42
8500,1007,6641,6724,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8501,1020,3055,3132,Near-Crash,Pickup truck,vehicle turning into another path (same direction),1.9,5.9,1.744,4.595
8502,1020,6686,6735,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.744,4.595
8504,1049,749,810,Near-Crash,Pickup truck,following vehicle,1.9,5.9,1.744,4.595
8505,1061,1111,1175,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8506,1022,14914,15014,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8507,1006,1063,1140,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.695,4.42
8508,1068,4090,4146,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8509,1068,214,251,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8510,1008,3263,3308,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.78,4.785
8511,1074,2544,2595,Near-Crash,Pickup truck,vehicle in adjacent lane,1.9,5.9,1.695,4.42
8513,1021,34008,34076,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8514,1021,13052,13185,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.78,4.785
8515,1042,3327,3334,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8516,1044,10543,10597,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8517,1043,7670,7903,Near-Crash,Automobile,following vehicle,1.8,4.5,1.763,4.836
8518,1079,526,550,Near-Crash,Automobile,oncoming traffic,1.8,4.5,1.695,4.42
8520,1076,11094,11143,Near-Crash,Van (minivan or standard van),vehicle turning into another path (same direction),2.1,5.5,1.78,4.785
8521,1037,50203,50245,Near-Crash,Automobile,following vehicle,1.8,4.5,1.78,4.785
8522,1037,4183,4264,Near-Crash,Van (minivan or standard van),following vehicle,2.1,5.5,1.78,4.785
8523,1061,5820,5916,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.744,4.595
8524,1061,14261,14322,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8525,1061,6979,7017,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8526,1061,5433,5464,Near-Crash,Automobile,parked vehicle,1.8,4.5,1.744,4.595
8527,1061,10443,10525,Near-Crash,Automobile,following vehicle,1.8,4.5,1.744,4.595
8528,1061,6122,6159,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.744,4.595
8529,1009,11400,11449,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.854,5.017
8530,1023,350,390,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.744,4.595
8531,1034,2242,2295,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8532,1014,3600,3644,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8533,1018,777,805,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8534,1049,9976,10033,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8535,1056,7762,7816,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.78,4.785
8536,1037,11817,11881,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.78,4.785
8537,1021,8214,8299,Near-Crash,Sport Utility Vehicles,following vehicle,2.0,4.8,1.78,4.785
8539,1034,20209,20260,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8542,1054,10559,10598,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8543,1054,21375,21420,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8544,1054,10674,10703,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8545,1054,624,667,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.695,4.42
8547,1034,11517,11570,Near-Crash,Automobile,following vehicle,1.8,4.5,1.695,4.42
8548,1034,4183,4226,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.695,4.42
8550,1051,6109,6134,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8552,1029,15211,15354,Near-Crash,Single-unit straight truck: Flatbed,vehicle in adjacent lane,2.4,7.3,1.763,4.836
8553,1029,13855,14103,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8555,1027,10501,10544,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.78,4.785
8556,1027,1114,1142,Near-Crash,Automobile,parked vehicle,1.8,4.5,1.78,4.785
8557,1042,13405,13445,Near-Crash,Single-unit straight truck: Box,vehicle in adjacent lane,2.4,7.3,1.763,4.836
8558,1006,4151,4197,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8559,1018,3355,3405,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8560,1018,21743,21773,Near-Crash,Van (minivan or standard van),vehicle in adjacent lane,2.1,5.5,1.763,4.836
8561,1074,12948,13012,Near-Crash,Pickup truck,lead vehicle,1.9,5.9,1.695,4.42
8564,1014,4115,4177,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8565,1070,6435,6491,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8568,1008,1014,1055,Near-Crash,Automobile,following vehicle,1.8,4.5,1.78,4.785
8570,1063,44077,44125,Near-Crash,Unknown vehicle type,lead vehicle,1.8,4.5,1.744,4.595
8571,1049,3246,3284,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8572,1066,11720,11753,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.695,4.42
8573,1078,3049,3110,Near-Crash,Van (minivan or standard van),vehicle in adjacent lane,2.1,5.5,1.854,5.017
8574,1066,2313,2334,Near-Crash,Automobile,vehicle turning into another path (same direction),1.8,4.5,1.695,4.42
8576,1063,9082,9121,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.744,4.595
8577,1063,19925,19987,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8579,1056,7380,7417,Near-Crash,Pickup truck,following vehicle,1.9,5.9,1.78,4.785
8580,2003,35245,35294,Near-Crash,Sport Utility Vehicles,vehicle in adjacent lane,2.0,4.8,1.782,4.579
8581,2003,7469,7520,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.782,4.579
8583,1081,12061,12113,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8584,1051,61408,61477,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8586,1051,36412,36499,Near-Crash,Van (minivan or standard van),vehicle moving across another path (through intersection),2.1,5.5,1.744,4.595
8587,1084,1555,1642,Near-Crash,Tractor-trailer: Enclosed box,lead vehicle,2.6,22.5,1.854,5.017
8588,2003,172,245,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.782,4.579
8589,1064,6601,6647,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.744,4.595
8590,1029,833,875,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8591,1034,1042,1106,Near-Crash,Automobile,Single vehicle conflict,1.8,4.5,1.695,4.42
8592,1029,746,796,Near-Crash,Van (minivan or standard van),lead vehicle,2.1,5.5,1.763,4.836
8594,1029,16073,16149,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.763,4.836
8595,1029,6898,6945,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8596,1029,9117,9166,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.763,4.836
8597,1029,36377,36453,Near-Crash,Automobile,vehicle turning across another path (opposite direction),1.8,4.5,1.763,4.836
8598,1029,12984,13062,Near-Crash,Van (minivan or standard van),vehicle in adjacent lane,2.1,5.5,1.763,4.836
8599,1070,7800,7837,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8600,1070,27328,27376,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.744,4.595
8601,1085,1965,2009,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8602,1085,21887,21959,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.744,4.595
8603,1085,1396,1459,Near-Crash,Van (minivan or standard van),vehicle in adjacent lane,2.1,5.5,1.744,4.595
8604,1050,131,189,Near-Crash,Automobile,lead vehicle,1.8,4.5,1.763,4.836
8605,1001,4932,5001,Near-Crash,Automobile,vehicle in adjacent lane,1.8,4.5,1.854,5.017
8606,1070,8155,8194,Near-Crash,Sport Utility Vehicles,lead vehicle,2.0,4.8,1.744,4.595
8608,1062,41370,41437,Near-Crash,Tractor-trailer: Enclosed box,vehicle in adjacent lane,2.6,22.5,1.854,5.017
8609,1067,6444,6524,Near-Crash,Automobile,parked vehicle,1.8,4.5,1.854,5.017
8610,1067,7960,8020,Near-Crash,Automobile,vehicle turning across another path (same direction),1.8,4.5,1.854,5.017
