event_id,event_description
8315,Subject driver  is talking on a cell phone and a lead vehicle is stopped ahead at a lighted intersection.  Subject driver appears to slow to a controlled stop.  The following vehicle rapidly approaches and almost hits the subject vehicle in the rear
8316,It is nighttime and the subject driver is driving on a two lane divided roadway when a vehicle to her right starts to enter the intersection.  Subject driver must apply her brakes to avoid hitting the other vehicle.
8317,Subject driver is in the far left lane when a van passes him on the right.  The van then changes lanes right in front of him.  The subject driver must suddenly decelerate and steer to the left to avoid hitting this lead vehicle.
8318,"Subject vehicle is approaching a stoplight and subject is looking ahead, but does not seem to notice that lead vehicle is stopped at the light, waiting to turn left (subject seems to be inattentive).  Subject realizes when it is so late that she must brake hard and steer left to avoid hitting the lead vehicle in the rear.  The incident happens at the beginning of the trip file, so there is limited pre-incident data.  Changed variable ""Travel lanes"" after reviewing satellite map"
8319,"Subject driver is merging onto the interstate.  As she enters the lane to her left, she cuts off a vehicle behind her.  The following vehicle nearly hits the subject vehicle in the rear."
8320,"Subject vehicle is traveling in stop-and-go traffic, (there is frequent lane-changing due to stalled lanes), and a vehicle in the stalled right lane changes quickly into subject vehicle lane ahead of subject vehicle.  Subject must brake to avoid hitting other vehicle in the rear.   Changed variable ""Travel lanes"" after reviewing satellite map"
8321,Vehicle in left lane ahead of subject vehicle signals and changes lane in front of subject vehicle.  Subject must brake to avoid hitting lead vehicle in the rear.
8322,"Subject vehicle is behind lead vehicle, approaching a right curve, which is a merge lane at an intersection.  Subject driver looks out her left window to check traffic,  and the lead vehicle stops. Subject vehicle hits lead vehicle in the rear. Inopportune glance."
8323,"Subject vehicle is in single lane which changes to 2-lane, coming up on the lead vehicle.  Subject vehicle begins to change to the right lane before lane markings (there is not a full right lane yet). As the subject vehicle begins to pass the lead vehicle on the right, the lead vehicle begins to move and is slightly into what will be the new right lane.  The subject stops and the lead vehicle continues in the left lane. The subject vehicle then continues in new right lane.  There is a passenger in the subject vehicle."
8324,Subject driver is driving on a three lane roadway when a vehicle at an intersection to the right starts to turn left in front of our driver.
8325,Subject driver is proceeding straight through a lighted intersection.  A vehicle enters the intersection from the opposite side intending to turn left.  The oncoming  vehicle begins to turn left across the subject vehicle's path of travel.  The oncoming vehicle nearly hits the left front side of the subject vehicle.
8326,"Subject vehicle is approaching signal at intersection in preparation for turning right. Subject driver is moving slightly as if dancing.   Lead vehicle steers to left of the lane as approaching light, subject vehicle starts to pass lead vehicle on the right to turn right at the intersection.  Lead vehicle makes a right turn across the subject vehicle's path, subject must brake to avoid hitting lead vehicle in the rear."
8327,Subject driver is talking on a cell phone and lead vehicle changes into the left lane (turn lane) then suddenly tries to change back into right lane in front of subject vehicle.  Subject brakes to avoid hitting lead vehicle in the rear.
8328,"Subject driver appears fatigued and drives through intersection and the lead vehicle stops suddenly.  Subject driver brakes appropriately (although suddenly)  to a stop when she sees that the lead vehicle is stopped.  As she is coming to a stop, she reaches for something  (unknown) down by her left foot, and continues looking down once the subject vehicle comes to a complete stop.  A following vehicle rapidly approaches the subject vehicle and does not stop,  hitting the subject vehicle in the rear. The following vehicle then leaves the scene (hit and run)."
8329,"Subject vehicle is traveling to stop light, lead vehicle is stopped ahead. Subject begins to change to right lane but does not see a vehicle coming up, jerked back into left lane to avoid sideswiping vehicle in the right lane, then brakes hard to avoid hitting the lead vehicle in the rear"
8330,"Subject vehicle is traveling through a parking lot and another vehicle is stopped to the left of subject vehicle, preparing to enter a parking space to the right of the subject vehicle.  Other vehicle turns across subject vehicle's path to park and subject vehicle brakes to avoid hitting the other vehicle on the right side."
8331,"Subject vehicle is in left lane when the driver realizes that he needs to take a right exit.  He suddenly changes into the lane to the right, nearly hitting a lead vehicle in the rear, and immediately continues into the right exit lane,"
8332,"Subject vehicle changes into right merge lane, lead vehicle remains partially in the original lane until after subject has merged.  Lead vehicle then changes completely into right merge lane ahead of subject vehicle.  Subject has to brake to avoid hitting lead vehicle in the rear.  Changed variable ""Travel lanes"" after reviewing satellite map"
8333,"Lead vehicle stops ahead of subject vehicle at a stop sign to turn right.  Subject looks out of left window before the lead vehicle is stopped and when subject looks back to forward roadway, subject has to brake to avoid hitting lead vehicle in the rear.  Inopportune glance"
8334,"Vehicle in the right lane steers left into the subject vehicle's lane to avoid a vehicle parked on the right side of the road and the subject must brake to avoid hitting the lead vehicle in the rear. Changed variable ""Travel lanes"" after reviewing satellite map"
8335,Subject vehicle is traveling in the rain in middle lane when leading vehicle from left lane begins to enter subject vehicle's lane. Subject must brake and steer right into turn lane to avoid hitting other vehicle in the rear.
8336,"Subject vehicle swerves over the right lane line to avoid an overturned construction barrel on the left lane line.    Changed variable ""Travel lanes"" after reviewing satellite map"
8337,"Subject driver has  passenger in the adjacent seat and  is driving up a grade in the far right lane. Traffic in front of him is travelling slower, and he moves into the left lane, cutting off the following vehicle in that lane.  The following vehicle almost hits the subject vehicle in the rear."
8338,Subject driver is asleep and hits the median.
8339,"Subject does not see vehicle to the right merging into subject vehicle lane until other vehicle begins to cross the subject's right lane line (embankment prevents view of car in merge lane until the point of merging).  Subject steers slightly right to avoid hitting merging vehicle, and merging vehicle also stops to allow subject vehicle to pass."
8340,Subject vehicle is traveling past a right merge lane and a car merges to its left in front of the subject vehicle.  Subject vehicle starts to get into the left lane but steered back into right lane to avoid sideswiping a vehicle in the left lane
8341,Subject driver  slows to a stop at  a red light while talking with a  passenger in the adjacent seat.  A following vehicle rapidly approaches and appears to brake hard to avoid hitting subject vehicle in the rear.
8342,"Subject vehicle is in right lane behind a truck and subject vehicle changes lanes (into right turn lane).  When the subject vehicle is almost completely in the right lane, the truck begins to drift over its right lane line and the subject vehicle must slow down to avoid sideswiping the truck on its left.  Changed variable ""Travel lanes"" after reviewing satellite map"
8343,Lead vehicle brakes and subject vehicle (following too closelyly) must brake hard to avoid hitting the lead vehicle in the rear end.  Unable to see the subject driver's face in the video.
8344,Subject is distracted by glancing down in car and then rubbing his face when lead vehicle stops.  Subject brakes to avoid hitting lead vehicle in rear.
8345,Lead vehicle is slowing down to avoid a vehicle in front of it.  Subject driver is eating fries with his right hand and holding onto the container and steering wheel with his left.  He also has two passengers in the vehicle that he is having a conversation with.  He is slow to react to the lead vehicle slowing down.
8346,Subject driver has passengers in the vehicle and is looking at a car on the right side of the road and yelling while driving.  The lead vehicle is stopped ahead and the subject vehicle nearly hits the lead vehicle in the rear.
8347,"Subject driver has two passenger in vehicle and is driving in a parking lot.  There is a large outdoor store display area in the parking lot to the subject vehicle's right.  The subject driver drives along the display area and intends to  turn right at the end of the display area.  As subject driver begins to turn right, he encounters another vehicle driving perpendicular to him, along the perpendicular side of the outdoor display.  The subject vehicle nearly hits the oncoming vehicle head-on."
8348,"Subject is distracted by eating in the car when lead vehicle stops suddenly because an oncoming vehicle is turning to its left, across the path of the lead and subject vehicles, to enter a parking lot.  Subject must brake hard to avoid hitting the lead vehicle in the rear, and car following subject must also brake to avoid hitting subject vehicle in the rear."
8349,"Subject is following a lead vehicle through an underpass.  As the lead vehicle comes out from the underpass it drives off onto the right shoulder of the road.  It is unclear why- maybe to avoid hitting vehicle in front.  Subject vehicle follows the lead vehicle off onto the shoulder and nearly hits the lead vehicle in the rear.  The vehicle following subject vehicle also drives off onto the shoulder and nearly hits the subject vehicle in the rear.   It is possible that the overpass  is obstructing the forward view and that as the drivers come out from under it, they realize traffic has stopped and drive onto the right shoulder to avoid collision.  Changed the variable ""travel lanes"" after reviewing satellite map."
8350,"Lead vehicle starts to change from right to left lane (subject glances out left window), but stops when partially still in subject vehicle's lane.  Subject must brake to avoid hitting lead vehicle in the rear, and vehicle following subject vehicle brakes to avoid hitting subject vehicle in the rear.  Changed variable ""travel lanes"" after reviewing satellite map"
8351,Subject driver is driving with a passenger in adjacent seat (does not appear to be interacting with passenger).  Subject driver is driving on a two lane undivided road and there is an oncoming vehicle.  The oncoming vehicle is over the lane line and in the subject driver's lane.  The oncoming vehicle nearly hits subject vehicle in the front left.
8352,"Subject driver starts out in the far left hand lane of a three lane divided roadway.  He keeps checking his rear view mirror as he changes into the right lane and then then changes into the right lane again to finally make a right hand turn at an intersection.  When he gets into the far right hand lane, he cuts in too close in front of a following vehicle and the following vehicle nearly hits the subject vehicle in the rear."
8353,"Lead vehicle stops for a traffic signal, subject is distracted by glancing to the left lane, when subject looks back to lead vehicle, subject brakes to avoid hitting lead vehicle in the rear.  Vehicle following the subject vehicle also brakes hard to avoid hitting subject vehicle in the rear."
8354,"Subject vehicle is driving relatively fast in the left lane as traffic is merging into right lane.  Lead vehicle is decelerating with right turn signal on, preparing to merge into right lane, and subject vehicle must brake to avoid hitting lead vehicle in the rear.  Subject vehicle is trying to get ahead of right lane traffic before merging."
8355,Lead vehicle suddenly changes lanes (from right lane to left) in front of subject vehicle in the left lane.  Subject must brake to avoid hitting the lead vehicle in the rear.
8356,Subject driver is adjusting the radio while driving.  The lead vehicle decelerates at a faster rate than the subject driver realizes and the subject vehicle nearly hits the lead vehicle in the rear.
8357,Subject vehicle is proceeding straight through an intersection and another vehicle turns right at the intersection in front of subject vehicle.  Subject presses critical incident button and does not realize that the vehicle is slow to gain speed in front of it.  Subject brakes to avoid hitting lead vehicle in the rear.
8358,"Subject driver is merging into stop and go traffic by crossing a solid white line rather than waiting for the official merge section up ahead. There is a vehicle behind him in the lane to the left (the lane he is merging into).  That vehicle is changing lanes into the far left lane, but as the subject vehicle moves into the left lane, the following vehicle nearly hits the subject vehicle in the rear."
8359,School bus enters intersection turning left in front of subject vehicle.  Subject must brake to avoid hitting school bus (lead vehicle) in the rear.
8360,Subject driver is talking on cell phone and looking at the left window to check for traffic as she is waiting to turn right out of a parking lot onto a busy street.  A vehicle approaches rapidly from behind and hits the subject vehicle in the rear.
8361,"Subject driver is making a wide right turn at a residential intersection.  As he turns onto new street, the oncoming vehicle is approaching the intersection.  Subject vehicle nearly hits oncoming vehicle in the left front/left side."
8362,Subject vehicle and car to his left are both in lanes to turn right-subject sees vehicle to his left as he is making the turn and seems to be nervous about an incident--lets vehicle to left make the turn before proceeding (no lane markings-could be unsure about where he needs to be to make the turn)
8363,"Subject driver is driving through a neighborhood and looking at an unknown object in the vehicle and also looking around outside of vehicle.  He is also singing.  A lead vehicle slows to make a left turn into driveway but subject vehicle begins to pass on left (lead vehicle seems not to have a left turn signal on, and subject must not realize lead intends to turn).  Subject brakes and stops before completely passes lead, then backs up to allow lead vehicle to turn left into driveway."
8364,"Lead vehicle is slowing to turn left and subject is distracted by a passenger in the adjacent seat (is also smoking).  Subject vehicle approaches lead vehicle quickly, and rather than slowing down to stop, subject vehicle passes lead vehicle on the right (no lane there, just a widening for the intersection)."
8365,"Subject driver is driving with passenger in adjacent seat.  Subject vehicle is proceeding through an intersection, turning left behind lead vehicle. Lead vehicle slows when completes turn and subject brakes and steers right into adjacent lane to avoid hitting lead vehicle in rear.  Subject is following too closelyly during the turn."
8366,"Subject vehicle is in right lane at red light.  When the light turns green, the vehicle in left lane (left turn only) goes straight through in front of subject , subject brakes as vehicle goes by to avoid sideswiping the vehicle on his left."
8367,Subject driver brakes in reaction to lead vehicle rapidly decelerating.  The following vehicle drives off the road on the left shoulder to avoid hitting the subject vehicle in the rear.
8368,"Subject vehicle is traveling in right lane while left lane is stagnant.  A lead vehicle pulls over subject's left lane line to enter subject's lane, and the subject brakes and steers right a bit to avoid hitting lead vehicle in the rear.  Changed variable ""Travel Lanes"" after reviewing satellite map"
8369,"Vehicle in left merge lane attempts to merge into subject vehicle's lane.  Subject vehicle can not change to right lane because it is occupied, other vehicle begins to pass over our subject's left lane line, but stops.  Subject must brake and steer slightly right to avoid hitting other vehicle in the rear.  Just prior to the event the subject driver appears to be talking to herself."
8370,"Subject is changing lanes (far left to middle), other vehicle also changing to middle lane from right lane, at near to same time, unknown which vehicle had right-of-way, or whether other vehicle had on turn signal"
8371,"Subject is merging into left lane from entrance ramp.  Lead vehicle slows during the merge and subject is distracted by talking on the cell phone and looking out the left window.  When subject looks back at lead vehicle, subject must brake to avoid hitting lead vehicle in the rear.  Inopportune glance."
8372,It is raining and the subject driver is on a three lane undivided roadway when a vehicle at an intersection makes a left turn in front of the subject driver.  Subject driver has to brake and steer right to avoid hitting the turning vehicle.
8373,"Subject is distracted by touching her face when the lead vehicle stops.  When subject looks up and sees that the lead vehicle is stopped, subject must brake and steer slightly right (toward shoulder) to avoid hitting the lead vehicle in the rear.  There is also a car going by in the left adjacent lane."
8374,Subject driver is talking/singing to herself and stops behind a line of cars at a light.  A following vehicle approaches rapidly and almost hits subject vehicle in the rear.
8375,Subject driver approaches an intersection and a stopped line of vehicles in the left lane were obstructing her vision of the left side of the intersection and she nearly hits a vehicle traveling across her path from the left.
8376,"Subject vehicle is stopped in turn lane, waiting on traffic signal-passenger opens door and Jeep comes up in right lane, nearly hitting the door of the subject vehicle.  Passenger quickly closes door.    Changed variable ""Travel lanes"" after reviewing satellite map"
8377,"Subject is distracted by dialing a cell phone and fails to notice in time that a third lane to the left forms after passing through an intersection.  There is a stopped line of traffic in that lane, and subject vehicle crosses its left lane line behind the lead vehicle in that lane.  When the subject looks up, she must brake and steer right to avoid hitting the stopped lead vehicle in the rear."
8378,Lead vehicle stops and subject driver misjudges and has to brake to avoid hitting lead vehicle in rear.
8379,"Subject is trying to make it through a yellow traffic signal, but lead vehicle stops momentarily at the signal.  Subject is distracted by looking for cell phone and looks up just in time to brake in order to avoid hitting the lead vehicle in the rear. Inopportune glance."
8380,"Subject driver is stopped behind a long row of vehicles at a light, applying makeup.  Subject driver does not see the lead vehicle begin to move forward and remains stopped while continuing to apply makeup.  The following vehicle begins to move in response to traffic moving and nearly hits subject vehicle in the rear. Updated ""travel lanes"" variable after reviewing satellite map."
8381,Lead vehicle slows and subject is distracted by an external distraction and fixing her hair-she is also drowsy-subject waits too late to brake to avoid hitting lead vehicle in the rear.  Lead vehicle decelerated at a faster rate than subject driver was initially aware of.
8382,Subject is drowsy and must brake to avoid hitting lead vehicle which slows in front of subject.  Lead vehicle decelerated at a faster rate than subject driver was initially aware of.
8383,Subject driver is going through an intersection and looking out her left window.  She appears to be looking for a landmark or at a street sign.  She hits the median as she is coming out of the intersection.  It is possible that the median is not well aligned with the left side of the travel line prior to the intersection.
8384,Vehicle in lane to the right of subject begins to change into subject vehicle lane (crosses subject vehicle's right lane line) and subject brakes to avoid hitting lead vehicle in the rear.
8385,"Subject driver is on cell phone,  approaching an interchange.  The interchange splits in two and is separated by a median.  She initially drives to the right, and then brakes and drives to the left. She nearly hits the median."
8386,"Lead vehicle stops in traffic fairly suddenly, and the subject driver brakes hard to avoid hitting lead vehicle in rear.  Vehicle following subject vehicle also had to brake to avoid hitting subject vehicle in the rear. Sunlight glare present."
8387,Subject driver is approaching an intersection and she has a red light.  She glances out her left window and continues to proceed through the red light.  A vehicle to her left is entering the intersection and turning left.  She almost his the entering vehicle.
8388,Subject driver is checking her right mirror while driving and the lead vehicle stops ahead.  Subject vehicle nearly hits the lead vehicle in the rear.  Inopportune glance.
8389,"Subject is driving in the rain and is distracted by adjusting the climate control.  Lead vehicle brakes and subject brakes to avoid hitting lead in rear.  It looks like subject steers left and hydroplanes or the braking causes hydroplaning, because when subject brakes, he skids laterally and must steer left and right  to correct the path."
8390,"Subject driver is driving and appears to be having a conversation with a passenger in adjacent seat.  The lead vehicle slows down and comes to a stop, waiting to turn left. The subject vehicle nearly hits the lead vehicle in the rear."
8391,Subject driver is turning left at an intersection and a vehicle coming from the opposite direction is turning right.  Subject driver must steer left and brake to avoid hitting the other vehicle.  From the signal configuration it looks like the subject driver had a red light.
8392,"Subject vehicle is traveling in the rain and almost misses the intended exit.  Subject vehicle enters the exit ramp at the last minute, nearly sideswiping a vehicle already on the ramp beside it.  Subject driver steered slightly left to avoid the crash and other vehicle went ahead on the exit ramp."
8393,Subject is going through a curve and getting into right turn lane when lead vehicle stops suddenly.  Subject must brake hard to avoid hitting lead vehicle in rear.
8394,"Subject driver has a passenger in the adjacent seat and is driving  two lanes to the left of the exit lane, trying to get into the exit lane, and becomes angry that no one is letting him in.  He is not patient, and is aggressively trying to cut across to the exit lane and crosses the right lane line, nearly sideswiping a van that is travelling in the right lane."
8395,Subject is distracted by tuning the radio when lead vehicle slows at an intersection to allow vehicle in left lane to get into lane in front of the lead vehicle.  Subject brakes to avoid hitting lead vehicle in the rear and the vehicle following the subject vehicle also brakes to avoid hitting subject vehicle in the rear.
8396,Subject vehicle runs over a dead animal on the interstate.  Subject is drowsy.
8397,"Subject appears to be drowsy and is coming up to lead vehicles that are slowed or stopped.  Subject quickly brakes and steers right to avoid hitting lead vehicle in the rear. Changed variable ""travel lanes"" after reviewing satellite map"
8398,Subject is distracted by looking out the right window and looks up in time to see lead vehicle slowed to change into the left lane.  Subject brakes and steers slightly right to avoid hitting the lead vehicle in the rear.  Inopportune glance.
8399,Subject vehicle is behind lead vehicle which has nearly slowed to a stop. Subject seems impatient and glances out right window before quickly changing into right lane to pass vehicle on the left.  Original narrative states that subject vehicle nearly hit the lead in the rear when it was making the lane change.
8400,Subject is in left lane on interstate and adjusting the climate control.  The lead vehicle in adjacent right lane begins to change into subject lane in front of subject.  Subject brakes to avoid hitting lead vehicle in the rear.  Lead vehicle returns to right lane.
8401,Subject driver is looking at paper/book in his hands as he drives. Subject vehicle is over the left lane line and an oncoming vehicle approaches as the subject vehicle nears a curve.  Subject vehicle nearly hits oncoming vehicle in the front left/front side.
8402,Subject driver is approaching an intersection in a right turn lane that curves to the right.  The lead vehicle slows down and stops at the light (waiting to turn right).  It appears that the subject driver is not expecting the lead vehicle to stop and the subject vehicle almost hits the lead vehicle in the rear.
8403,"Subject is distracted by talking on a cell phone when lead vehicle slows because the vehicle in front of him has stopped. Subject must brake and slow to avoid hitting the lead vehicle in the rear.  Lead vehicle passes his lead vehicle on the right, subject begins to do the same, but 2nd vehicle starts again and so the subject enters the lane again behind the 2nd vehicle."
8404,"Subject is distracted by looking at her lap when the lead vehicle suddenly stops and steers left to avoid hitting the vehicle in front of him, who is stopped.  Subject must brake hard and steer slightly right to avoid hitting the lead vehicle in the rear.  A second vehicle is in the lane to the right of the subject vehicle, and steers slightly right to avoid hitting the subject."
8405,"Subject vehicle is changing from far right to far left lanes (across 2 lanes of traffic) and did not see the following vehicle in the far left lane when he cut over and in front of that vehicle, nearly sideswiping the other vehicle.  Subject waved an apology to the other vehicle when he got in front of it."
8406,"Subject vehicle is traveling in middle lane when a truck in the right lane ahead of subject begins to change into subject vehicle's lane, crossing the subject vehicle's right lane line.  Subject steers into the left lane and accelerates to avoid hitting the truck (lead vehicle) in the rear."
8407,Subject is distracted by looking at her lap and by looking out the left window when lead vehicle stops.  Subject brakes hard to avoid hitting the lead vehicle in the rear.  Inopportune glance
8408,"Subject driver is negotiating a curve and looking at an unknown object in the passenger seat. The subject vehicle drifts across the left lane line into the oncoming traffic's left turn lane.   The oncoming vehicle is entering its left turn lane and the subject vehicle nearly hits the oncoming vehicle in the left front/left side, causing the oncoming vehicle to swerve around the subject vehicle.  Subject driver appears unaware that she is in the wrong lane and unaware that she nearly had a collision.  Variable ""relation to junction"" was changed after reviewing satellite map."
8409,Subject driver is looking out the left side window.  The road begins to curve to the right and he hits the curb on the right side of the road. Inopportune glance.
8410,Subject is distracted by talking on a cell phone and lead vehicle decelerates to stop-subject must brake to avoid hitting lead vehicle in the rear.
8411,"Subject driver is driving with passenger in adjacent seat.  As she approaches a parked car on the right shoulder, she steers to the center of the road to leave plenty of room between her vehicle and the parked vehicle.  It appears that she could have avoided the parked vehicle without leaving her lane.  As the subject vehicle moves across the left lane line, a vehicle pulls out onto the roadway from a roadway ahead on the subject driver's left.  When the other vehicle enters the roadway, it makes a wide right turn and is also in the center of the roadway. The oncoming vehicle and the subject vehicle nearly hit each other in the left front/left side."
8412,Lead vehicle in left lane begins to change into subject vehicle's  lane (crossing subject vehicle's left lane line) and subject brakes and steers into right lane to avoid hitting lead vehicle in the rear.
8413,Subject vehicle is travelling in the far left lane (distracted by glancing at and talking to the passenger in the adjacent seat) and changes into the middle lane of a 3-lane divided highway.  Another vehicle in the far right lane also changes into the middle lane and the two vehicles nearly collide.  Subject steered left to avoid sideswiping the other vehicle.
8414,Subject driver is glancing at directions and a bus in ahead of her turning left.  When the bus turns left the subject driver sees a automobile coming from the opposite direction waiting to turn left in front of her.  The automobile is a little in her lane.  she glances in her center mirror and moves into the right lane a little not seeing the automobile in that lane.  the automobile in the right lane must move to the right a little to avoid the subject driver from hitting his car.
8415,"Subject driver is driving with a passenger in the adjacent seat.  Vehicle in right merge lane is trying to merge on to interstate in front of subject vehicle.  There are no vehicles in the lane to the left to preclude subject vehicle from changing lanes to  allow other vehicle to merge, but subject does not change lanes until the merging vehicle has begun to cross over the subject's right lane line."
8416,"Subject driver is driving on the interstate and talking on her cell phone.  She is in the middle lane, when a driver in the far left lane tries to change into the subject driver's lane."
8417,Lead vehicle in left lane begins to change into subject vehicle's middle lane (crossing subject vehicle's left lane line) and subject brakes to avoid hitting lead vehicle in the rear.  Subject is drowsy and has a passenger in adjacent seat.
8418,"Subject driver is talking on the phone on a three lane divided roadway.  Vehicle 2 was stopped in the traffic lane to the subject driver's immediate left lane and changed lanes aggressively right when the subject driver beside it, causing the subject driver to brake hard."
8419,The subject driver is driving on the interstate and tries changing into a right hand lane at the same time that Vehicle 2 is trying to change into the same lane from the far right lane.  Both vehicles change back into their original lanes.
8420,Subject vehicle is preparing to merge onto an exit ramp and a vehicle from the adjacent left lane realizes that they need to get onto the exit ramp also and the lead vehicle suddenly crosses the subject vehicle's left lane line into the subject vehicle's lane. Subject brakes hard to avoid hitting the lead vehicle in the rear.
8421,Subject driver is attempting to make a lane change from the far left lane to the middle lane as a vehicle in the far right lane is also changing lanes into the middle lane at the same time.  The subject vehicle nearly sideswipes the other vehicle.
8422,Lead vehicle slows and subject is distracted by looking at the center mirror.  Subject waits too late and must brake to avoid hitting lead vehicle in the rear.
8423,"The following vehicle is motioning at the subject driver  because he would not turn right on red.  Once both drivers turn right, the following vehicle drives up next to the subject driver and tries to sideswipe him on purpose.  There is a passenger in the subject's vehicle."
8424,"Subject driver is driving on a four lane undivided roadway, when a vehicle to the subject driver's right starts to exit a parking lot.  Subject driver must brake and steer left to avoid hitting the vehicle."
8425,Subject driver is driving with a passenger in adjacent seat.  The lead vehicle comes to a stop and the subject vehicle almost hits the lead vehicle in the rear.
8426,Subject vehicle is following lead vehicle fairly closely on a 2-lane road when lead vehicle slows down.  Subject brakes and steers into the right exit lane to avoid hitting the lead vehicle in the rear.  There is a passenger in the subject vehicle
8427,"Subject is talking on a cell phone and subject vehicle is following lead vehicle fairly closely on a 2-lane road when lead vehicle slows down to stop.  Subject brakes to avoid hitting the lead vehicle in the rear, and vehicle following subject also brakes to avoid hitting subject vehicle in the rear."
8428,"Subject driver is driving in stop and go traffic.  As the subject vehicle is slowing to a stop, the following vehicle rapidly approaches and moves into the left lane, nearly hitting the subject vehicle in the left rear/left side. The following vehicle driver is driving aggressively."
8429,Subject driver is on a side street and pulls out making a left turn.  He pulls out in front of a vehicle to his left that was on the main street.
8430,Subject driver is approaching an intersection and a truck with a boat and trailer is making a left turn in front of him.  Subject driver must slow down and steer to the left to avoid hitting the vehicle.  There is a passenger in the vehicle
